script;linha_bloco;problema;gravidade;impacto;correcao;resultado_anterior;resultado_corrigido
CAT - INSS/script.R;classificar_profissao();"Classificação parcialmente textual: str_detect('enferm') incluiria CBO 519305 (auxiliar de veterinário, sinônimo 'enfermeiro veterinário' na fonte); 'medic' sem exclusões suficientes";alto;1 registro na base Campos seria classificado como Enfermagem;Nova classificação exclusivamente por código CBO/família com dicionário auditado;Enfermagem incluiria registro veterinário;519305 excluído do universo principal
CAT - INSS/script.R;filtro_campos;Filtro municipal por código OU texto, sem checagem da UF do empregador;moderado;12 registros 330100 com UF≠RJ entrariam na base;Critério conjunto: código 330100 E UF RJ;5.078 registros;5.066 registros
CAT - INSS/script.R;escopo;Universo restrito a Medicina e Enfermagem;crítico (para o objetivo atual);Perda de 166 CATs de outras 10 categorias da saúde (14,5% do universo principal);Universo ampliado por CBO oficial (3 níveis);978 registros (Enf+Med);1.144 registros (12 categorias)
CAT - INSS/script.R;leitura (fread);"Sem deduplicação entre arquivos sobrepostos (202201/202204; 202207–202211; 202404/202405; 202506–202510)";crítico;Dupla contagem: 537 duplicidades no recorte Campos+RJ (5.603→5.066);Deduplicação por hash SHA-256 da linha bruta, mantendo a 1ª competência;contagens infladas;base deduplicada
CAT - INSS/script.R;fread(encoding='Latin-1');"3 arquivos de 2020 são UTF-8-BOM; leitura Latin-1 gera mojibake, 'corrigido' por substituições manuais (corrigir_rotulo_cat)";moderado;Rótulos corrompidos em gráficos/tabelas;Detecção de codificação por arquivo;rótulos com 'Ã§' etc.;rótulos íntegros
CAT - INSS/script.R;make.unique/janitor;"Cabeçalhos duplicados renomeados automaticamente e coalescidos por regex de nomes; posição varia entre esquemas";moderado;Risco de mistura competência/data e código/descrição em esquemas distintos;Importação por posição com mapa explícito por esquema;—;—
CAT - INSS/script.R;calcular_idade();Idades fora de [14,100] anuladas silenciosamente, sem log;baixo;Sem impacto na base Campos (0 casos);Regra registrada em log com contagem;—;—
CAT - INSS/script.R;chi-quadrado;Testes de associação sobre dados de notificação sem denominadores;baixo;Risco interpretativo (frequência ≠ risco);"Não replicados; análise descritiva com ressalvas";—;—
CARACTERIZAÇÃO - CAMPOS/script.R;setwd();Caminho absoluto para pasta antiga ('TRABALHOS/CARACTERIZAÇÃO');baixo;Não executa em outra máquina;Pipeline novo usa caminhos relativos;—;—
CARACTERIZAÇÃO - CAMPOS/script.R;tabela 4709;Arquivo nomeado 'pib_per_capita.csv' contém tabela 4709 (população residente/taxa de crescimento), não PIB per capita;moderado;Risco de citação errada de indicador;PIB per capita calculado explicitamente (PIB 5938 ÷ população 6579);rótulo incorreto;indicador correto e documentado
CARACTERIZAÇÃO - CAMPOS/script.R;log_download;8 de 21 tabelas SIDRA falharam (5939, 9518, 9519, 9520, 9607, 9609, 9610);informativo;Caracterização incompleta (sem VA setorial em série própria, rendimento, esgotamento);"Uso das tabelas disponíveis; lacunas declaradas";—;—
